Id;IdiomId
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;10
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
1;20
1;21
1;22
1;23
1;24
1;25
1;26
1;27
1;28
1;29
1;30
1;31
1;32
1;33
1;34
1;35
1;36
1;37
1;38
1;39
1;40
1;41
1;42
1;43
1;44
1;45
1;46
1;47
1;48
1;49
1;50
1;51
1;52
1;53
1;54
1;55
1;56
1;57
1;58
1;59
1;60
1;61
1;62
1;63
1;64
1;65
1;66
1;67
1;68
1;69
1;70
1;71
1;72
1;73
1;74
1;75
1;76
1;77
1;78
1;79
1;80
1;81
1;82
1;83
1;84
1;85
1;86
1;87
1;88
1;89
1;90
1;91
1;92
1;93
1;94
1;95
1;96
1;97
1;98
1;99
1;100
1;101
1;102
1;103
1;104
1;105
1;106
1;107
1;108
1;109
1;110
1;111
1;112
1;113
1;114
1;115
1;116
1;117
1;118
1;119
1;120
1;121
1;122
1;123
1;124
1;125
1;126
1;127
1;128
1;129
1;130
1;131
1;132
1;133
1;134
1;135
1;136
1;137
1;138
2;139
2;140
2;141
2;142
2;113
2;143
2;144
2;145
2;146
2;147
2;148
2;149
2;150
2;151
2;152
2;153
3;154
3;31
3;155
3;156
3;157
3;158
3;159
3;160
3;161
3;162
3;163
3;164
3;165
3;166
3;167
3;168
3;169
3;170
3;171
3;172
3;82
4;173
4;174
4;175
4;176
4;177
4;178
4;179
4;180
4;181
5;182
5;183
5;184
5;185
5;186
5;187
5;188
5;189
5;190
5;191
5;192
5;193
5;194
5;82
6;195
6;196
6;197
6;198
6;199
6;200
6;201
6;12
6;202
6;203
6;204
6;205
6;82
7;206
7;205
7;207
7;208
7;209
7;210
7;211
7;212
7;213
7;214
8;215
8;216
8;217
8;218
8;219
8;220
8;221
8;151
8;222
8;223
8;224
8;225
8;226
8;227
8;228
8;229
8;230
8;231
8;232
8;82
9;233
9;234
9;235
9;236
9;237
9;238
9;239
9;240
9;241
9;242
9;243
9;244
9;245
9;246
9;247
9;82
10;248
10;249
10;250
10;251
10;252
10;253
10;254
10;255
10;256
10;222
10;257
11;258
11;259
11;260
11;261
11;262
11;263
11;264
11;265
11;266
11;267
11;33
11;268
11;269
11;270
11;82
12;271
12;272
12;273
12;274
12;275
12;276
12;277
12;278
12;279
12;280
12;281
12;82
13;282
13;283
13;284
13;285
13;286
13;287
13;288
13;289
13;290
13;265
13;291
13;292
13;293
13;294
13;295
13;296
13;297
14;298
14;299
14;300
14;301
14;302
14;303
14;304
14;305
14;306
14;307
14;308
14;309
14;310
14;311
14;82
15;312
15;313
15;46
15;55
15;70
15;314
15;315
15;316
15;317
15;318
15;319
15;320
15;82
16;215
16;125
16;321
16;322
16;323
16;324
16;222
16;251
16;325
16;326
16;327
16;113
16;328
16;329
16;330
17;331
17;332
17;333
17;334
17;335
17;336
17;337
17;338
17;339
17;132
17;340
17;341
17;342
17;343
17;344
17;345
17;346
17;82
18;347
18;348
18;349
18;199
18;350
18;351
18;352
18;353
18;324
18;354
18;355
18;356
18;357
18;82
19;358
19;359
19;360
19;361
19;362
19;363
19;364
19;365
19;366
19;367
19;368
19;369
19;370
19;371
19;372
19;373
20;216
20;374
20;375
20;376
20;377
20;378
20;379
20;380
20;381
20;382
20;383
20;384
20;385
20;386
20;387
20;388
20;82
21;326
21;19
21;389
21;390
21;391
21;392
21;393
21;89
21;394
21;395
21;396
21;397
21;398
21;82
22;399
22;400
22;401
22;283
22;402
22;403
22;404
22;203
22;405
22;406
22;24
22;407
22;82
23;408
23;409
23;410
23;411
23;412
23;413
23;414
23;380
23;415
23;416
23;417
23;418
23;419
23;382
23;420
23;421
23;82
24;422
24;423
24;424
24;425
24;426
24;427
24;428
24;429
24;57
24;430
24;431
24;82
25;432
25;433
25;434
25;435
25;436
25;437
25;438
25;439
25;440
25;441
25;442
25;443
25;444
25;445
25;82
26;446
26;447
26;448
26;449
26;302
26;450
26;451
26;452
26;453
26;454
26;455
26;456
26;457
26;458
26;459
26;460
26;461
26;82
27;462
27;463
27;464
27;465
27;466
27;467
27;468
27;469
27;394
27;470
27;471
27;472
27;473
27;474
27;82
28;475
28;476
28;477
28;478
28;479
28;480
28;481
28;482
28;247
28;483
28;484
28;485
28;176
28;486
28;487
28;488
28;489
28;490
28;82
29;272
29;491
29;492
29;493
29;494
29;495
29;496
29;497
29;498
29;499
29;500
29;501
29;502
29;503
29;504
29;505
29;506
29;507
29;508
29;509
29;153
30;510
30;511
30;512
30;513
30;514
30;82
31;82
32;195
32;515
32;516
32;517
32;518
32;519
32;520
32;521
32;522
32;523
32;524
32;525
32;526
32;527
32;82
33;528
33;529
33;530
33;531
33;532
33;533
33;534
33;535
33;506
33;536
33;537
33;121
33;538
33;82
34;539
34;197
34;540
34;541
34;542
34;543
34;518
34;404
34;202
34;544
34;195
34;143
34;545
34;546
34;547
34;82
35;548
35;549
35;550
35;551
35;552
35;553
35;554
35;555
35;556
35;557
35;558
35;559
35;560
35;82
36;561
36;562
36;563
36;564
36;565
36;566
36;567
36;568
36;569
36;570
36;571
36;82
37;572
37;573
37;400
37;574
37;575
37;356
37;576
37;577
37;578
37;579
37;496
37;580
37;581
38;582
38;583
38;584
38;585
38;586
38;587
38;588
38;589
38;590
38;591
38;592
38;593
38;594
38;595
38;82
39;596
39;383
39;141
39;597
39;598
39;599
39;41
39;600
39;601
39;602
39;469
39;82
40;603
40;604
40;605
40;460
40;606
40;607
40;608
40;609
40;26
40;610
40;590
40;82
41;195
41;611
41;540
41;612
41;613
41;614
41;615
41;206
41;616
41;617
41;618
41;619
41;620
41;82
42;621
42;196
42;197
42;622
42;198
42;623
42;624
42;625
42;626
42;627
42;628
42;629
42;630
42;29
42;631
43;632
43;518
43;286
43;450
43;633
43;312
43;543
43;634
43;635
43;636
43;544
43;637
43;453
43;638
43;639
43;640
43;641
43;82
44;642
44;643
44;644
44;645
44;646
44;647
44;648
44;649
44;650
44;651
44;652
44;653
44;654
44;655
44;82
45;656
45;640
45;657
45;658
45;659
45;660
45;661
45;662
45;663
45;664
45;665
45;666
45;667
45;668
45;669
45;670
45;671
45;672
45;673
45;674
45;675
45;676
45;82
46;677
46;678
46;679
46;680
46;681
46;682
46;683
46;110
46;684
46;685
46;686
46;687
46;688
46;689
46;690
46;691
46;692
46;82
47;693
47;694
47;695
47;696
47;697
47;698
47;699
47;700
47;701
47;278
47;702
47;703
47;704
47;82
48;705
48;706
48;251
48;707
48;708
48;709
48;710
48;711
48;712
48;713
48;714
48;715
48;716
49;717
49;575
49;718
49;719
49;720
49;721
49;722
49;458
49;723
49;724
49;725
49;726
49;727
49;82
50;728
50;301
50;729
50;322
50;730
50;710
50;731
50;732
50;733
50;734
50;735
50;736
50;737
50;738
50;739
50;740
50;741
50;742
50;82
51;743
51;744
51;745
51;746
51;570
51;747
51;748
51;749
51;750
51;751
51;752
51;237
51;247
51;753
51;754
51;82
52;755
52;756
52;757
52;758
52;759
52;760
52;761
52;762
52;763
52;764
52;765
52;766
52;767
52;768
52;82
53;769
53;770
53;771
53;254
53;772
53;773
53;774
53;775
53;776
53;777
53;778
53;779
53;780
53;781
53;782
53;82
54;783
54;784
54;785
54;786
54;787
54;788
54;789
54;294
54;5
54;790
54;791
54;792
54;793
54;794
54;82
55;795
55;796
55;797
55;798
55;799
55;800
55;801
55;802
55;803
55;804
55;805
55;432
55;806
55;807
55;82
56;808
56;809
56;810
56;811
56;812
56;69
56;813
56;814
56;815
56;816
56;817
56;818
56;819
56;82
57;613
57;820
57;821
57;822
57;823
57;824
57;825
57;826
57;827
57;828
57;829
57;830
57;831
57;832
57;833
57;82
58;834
58;835
58;836
58;837
58;838
58;839
58;172
58;840
58;841
58;842
58;843
58;844
58;845
58;722
58;82
59;846
59;234
59;847
59;604
59;848
59;849
59;22
59;850
59;851
59;852
59;853
59;854
59;855
59;248
59;856
59;82
60;656
60;408
60;857
60;466
60;391
60;858
60;639
60;859
60;860
60;861
60;862
60;82
